misferda,misferd,NOUN,Fem
motstrid,motstrid,NOUN,Masc
parlamentsbygninga,parlamentsbygning,NOUN,Masc
karisma,karisma,NOUN,Masc
kosta,koste,VERB,kosta
bryggeria,bryggjeri,NOUN,Neuter
flis,flis,NOUN,Fem
sjampo,sjampo,NOUN,Masc
innfløkt,innfløkt,ADJ,na
etterkontrollane,etterkontroll,NOUN,Masc
utviklingsprosjekt,utviklingsprosjekt,NOUN,Neuter
sommarlege,sommarleg,ADJ,na
koste,koste,VERB,kosta
flik,flik,NOUN,Masc
flid,flid,NOUN,Masc
flip,flipe,VERB,flipt
flir,flir,NOUN,Masc
grunnvollane,grunnvoll,NOUN,Masc
dødsskvadronen,dødsskvadron,NOUN,Masc
sanerte,sanere,VERB,sanert
barnevogner,barnevogn,NOUN,Fem
nyland,nyland,NOUN,Neuter
okkupant,okkupant,NOUN,Masc
rundlurt,rundlure,VERB,rundlura
nittitalet,nittital,NOUN,Neuter
opplys,opplys,ADJ,na
språkelement,språkelement,NOUN,Neuter
annullere,annullere,VERB,annullert
annullert,annullere,VERB,annullert
derifrå,derfrå,ADV,na
freistingar,freisting,NOUN,Fem
masseslagsmålet,masseslagsmål,NOUN,Neuter
manngard,manngard,NOUN,Masc
jarnbanenettet,jernbanenett,NOUN,Neuter
vegstrekninga,vegstrekning,NOUN,Masc
fødeklinikkane,fødeklinikk,NOUN,Masc
unnlèt,unnlate,VERB,unnlate
menneskeliv,menneskeliv,NOUN,Neuter
heilkvit,heilkvit,ADJ,na
flor,flor,NOUN,Masc
flos,flos,NOUN,Neuter
flod,flod,NOUN,Fem
dumma,dumme,VERB,dumma
dumme,dumme,VERB,dumma
bølgjetopp,bølgjetopp,NOUN,Masc
mannsaldrar,mannsalder,NOUN,Masc
onkolog,onkolog,NOUN,Masc
pellet,pellet,NOUN,Masc
svangerskapa,svangerskap,NOUN,Masc
innanriksruta,innanriksrute,NOUN,Fem
dumpe,dumpe,VERB,dumpa
nærgåande,nærgåande,ADJ,na
normalbakke,normalbakke,NOUN,Masc
dumpa,dumpe,VERB,dumpa
mellomløysingar,mellomløysing,NOUN,Fem
portalen,portal,NOUN,Masc
kristen,kristen,NOUN,Masc
prosenteiningar,prosenteining,NOUN,Fem
tribuneplassane,tribuneplass,NOUN,Masc
menneskeleg,menneskeleg,ADJ,na
ferdselsforbodet,ferdselsforbod,NOUN,Neuter
oppsider,oppside,NOUN,Fem
forbanningar,forbanning,NOUN,Fem
hengsla,hengsle,VERB,hengsla
gjestande,gjeste,VERB,gjesta
innflyttarane,innflyttar,NOUN,Masc
bachelor,bachelor,NOUN,Masc
lekamsskadinga,lekamsskading,NOUN,Fem
vassavgifta,vassavgift,NOUN,Fem
gislar,gisle,VERB,gisla
abortnemnder,abortnemnd,NOUN,Fem
solnedgangane,solnedgang,NOUN,Masc
tidend,tidend,NOUN,Fem
tidene,tid,NOUN,Fem
etterfølgar,etterfølgjar,NOUN,Masc
kosar,kose,VERB,kosa
saklegheit,saklegheit,NOUN,Fem
sparkstytting,sparkstytting,NOUN,Masc
låtskrivarar,låtskrivar,NOUN,Masc
flikete,flikete,ADJ,na
merknadane,merknad,NOUN,Masc
hugsast,hugse,VERB,hugsa
rullegardina,rullegardin,NOUN,Neuter
logistiske,logistisk,ADJ,na
æresdoktorane,æresdoktor,NOUN,Masc
flys,flysje,VERB,flust
flyt,flyt,NOUN,Masc
nedfelle,nedfelle,VERB,nedfelt
tidels,tidels,ADJ,na
tidelt,tidelt,ADJ,na
kosen,kjose,VERB,kose
flyg,fly,VERB,floge
koser,kose,VERB,kosa
flyr,fly,VERB,floge
sjaman,sjaman,NOUN,Masc
kjenslene,kjensel,NOUN,Fem
julestjerner,julestjerne,NOUN,Fem
trafikkteljingar,trafikkteljing,NOUN,Fem
kristne,kristne,VERB,kristna
flya,fly,NOUN,Fem
etterprøver,etterprøve,VERB,etterprøvt
framhevar,framheve,VERB,framheva
irrelevante,irrelevant,ADJ,na
hotellromma,hotellrom,NOUN,Neuter
kvalpekull,kvelpekull,NOUN,Neuter
låtskrivaren,låtskrivar,NOUN,Masc
verkstadar,verkstad,NOUN,Masc
sanerer,sanere,VERB,sanert
opplev,oppleve,VERB,opplevt
attende,attende,ADV,na
tuslar,tusle,VERB,tusla
avsperra,avsperre,VERB,avsperra
ostehøvelen,ostehøvel,NOUN,Masc
portalar,portal,NOUN,Masc
nyårskvelden,nyttårskveld,NOUN,Masc
uprøvd,uprøvd,ADJ,na
middagsselskap,middagsselskap,NOUN,Neuter
barselkvinnene,barselkvinne,NOUN,Fem
etterfølgje,etterfølgje,VERB,etterfølgt
byggjeforskrifta,byggjeforskrift,NOUN,Fem
livsfjernt,livsfjern,ADJ,na
overgriparane,overgripar,NOUN,Masc
verkstader,verkstad,NOUN,Masc
verkstaden,verkstad,NOUN,Masc
dømminga,døming,NOUN,Fem
direktiva,direktiv,NOUN,Neuter
motsetningane,motsetning,NOUN,Fem
bykommune,bykommune,NOUN,Masc
opplag,opplag,NOUN,Neuter
nedfelte,nedfelle,VERB,nedfelt
kortstokk,kortstokk,NOUN,Masc
posent,posen,ADJ,na
tragikomisk,tragikomisk,ADJ,na
etterfølger,etterfølgje,VERB,etterfølgt
frikjend,frikjenne,VERB,frikjent
alvorleg,alvorleg,ADJ,na
frikjent,frikjenne,VERB,frikjent
frårådinga,fråråding,NOUN,Fem
trusselbilete,trugselbilete,NOUN,Neuter
dronningane,dronning,NOUN,Fem
nylaga,nylaga,ADJ,na
lynsjestemning,lynsjestemning,NOUN,Fem
overtone,overtone,NOUN,Masc
gamleheimen,gamleheim,NOUN,Masc
allmennaksjeselskap,allmennaksjeselskap,NOUN,Neuter
posert,posere,VERB,posert
etterfølgde,etterfølgje,VERB,etterfølgt
verendring,vêrendring,NOUN,Fem
posere,posere,VERB,posert
nylagt,nylagd,ADJ,na
bombarderte,bombardere,VERB,bombardert
stillingane,stilling,NOUN,Fem
korps,korps,NOUN,Neuter
dulta,dulte,VERB,dulta
dulte,dulte,VERB,dulta
uregulert,uregulert,ADJ,na
brannsjefar,brannsjef,NOUN,Masc
kondorane,kondor,NOUN,Masc
utviklingsfasar,utviklingsfase,NOUN,Masc
nedvasking,nedvasking,NOUN,Fem
dimensjonerer,dimensjonere,VERB,dimensjonert
røystingar,røysting,NOUN,Fem
etnologisk,etnologisk,ADJ,na
sommartemperatur,sommartemperatur,NOUN,Masc
sjanse,sjanse,VERB,sjansa
tresnitt,tresnitt,NOUN,Neuter
korta,korte,VERB,korta
utviklingsfasen,utviklingsfase,NOUN,Masc
korte,korte,VERB,korta
ankermannen,ankermann,NOUN,Masc
inneluft,inneluft,NOUN,Fem
kommandantane,kommandant,NOUN,Masc
godseigar,godseigar,NOUN,Masc
sentralforvaltinga,sentralforvalting,NOUN,Fem
brannsjefen,brannsjef,NOUN,Masc
stimulert,stimulere,VERB,stimulert
bensinmotorane,bensinmotor,NOUN,Masc
tørrmat,tørrmat,NOUN,Masc
arbeidsfolket,arbeidsfolk,NOUN,Neuter
charteret,charter,NOUN,Neuter
filmar,filme,VERB,filma
molekyla,molekyl,NOUN,Neuter
knokke,knekke,VERB,knokke
belastingar,belasting,NOUN,Fem
respektere,respektere,VERB,respektert
stafettane,stafett,NOUN,Masc
respektera,respektere,VERB,respektert
tress,tress,NOUN,Masc
stimulera,stimulere,VERB,stimulert
respektert,respektere,VERB,respektert
vassboren,vassboren,ADJ,na
stimulere,stimulere,VERB,stimulert
protestaksjon,protestaksjon,NOUN,Masc
nederlaga,nederlag,NOUN,Neuter
skattekort,skattekort,NOUN,Neuter
skråtaket,skråtak,NOUN,Neuter
skjermande,skjerme,VERB,skjerma
grunnlag,grunnlag,NOUN,Neuter
utetter,utetter,ADP,na
filmen,film,NOUN,Masc
palme,palme,VERB,palma
palma,palme,VERB,palma
mellomdistansane,mellomdistanse,NOUN,Masc
atomdrive,atomdriven,ADJ,na
gulfarga,gulfarge,NOUN,Masc
søskenbarn,syskenbarn,NOUN,Neuter
morgonkaffien,morgonkaffi,NOUN,Masc
barneheimane,barneheim,NOUN,Masc
slimhinnene,slimhinne,NOUN,Fem
minstefrådrag,minstefrådrag,NOUN,Neuter
kondolanse,kondolanse,NOUN,Masc
utrøytteleg,utrøytteleg,ADJ,na
georginar,georgine,NOUN,Masc
mandeloljer,mandelolje,NOUN,Masc
halvflaske,halvflaske,NOUN,Fem
gateopptøyar,gateopptøyar,NOUN,Masc
utbytet,utbyte,NOUN,Neuter
fjellvatnet,fjellvatn,NOUN,Neuter
ekvator,ekvator,NOUN,Masc
tispene,tispe,NOUN,Fem
treet,tre,NOUN,Neuter
tuskar,tuske,VERB,tuska
utbytta,utbyte,VERB,utbytt
koran,koran,NOUN,Masc
skjeret,skjer,NOUN,Neuter
korar,kore,VERB,kora
utbytte,utbyte,VERB,utbytt
skjerfa,skjerf,NOUN,Neuter
tredjepartar,tredjepart,NOUN,Masc
treft,treffe,VERB,treft
treningskampen,treningskamp,NOUN,Masc
skuletimen,skuletime,NOUN,Masc
treff,treff,NOUN,Masc
daglegvarene,daglegvare,NOUN,Fem
virale,viral,ADJ,na
tregt,treg,ADJ,na
trega,trege,VERB,trega
trege,trege,VERB,trega
schizofren,schizofren,ADJ,na
imamane,imam,NOUN,Masc
sprudla,sprudle,VERB,sprudla
viralt,viral,ADJ,na
stormsteg,stormsteg,NOUN,Neuter
